,data
11537,sao e chốt set rêu -mà giao em set hong sam v shop
11538,khách 5004 vải ok k shop
11539,"shop ơi váy này màu cá hồi em mặc k đẹp lắm, shop đôi màu trắng cho em dc k ak"
11540,khách 6294 set đủ nhé hàng đẹp lắm ạ
11541,crystal luu hộp mức tết ah
11542,khách 1431 cao 1m50 nặng 45kg
11543,em dạt set caro trắng lan tím mà shop giao gì kỳ v
11544,khách 552 sét váy này còn ko shop
11545,kiểm tra mẫu kỹ dùm chị ưa lộn hàng chị lắm luôn nha
11546,khách 496 cho em hỏi set này giá bn ạ
11547,khách 1700 chị chốt em size gì vậy ah
11548,vân lê còn mẫu đồng hồ nữ nào k e
11549,khách 902 e oi
11550,khách 6071 cho mik 2 áo này nha xanh min và đen nha
11551,khách 5758 đầm hôm qua e nhận bị lỗi
11552,khách 433 nhị bình châu thành tiền giang
11553,khách 2020 shop giao nhầm size ạ
11554,"shop ơi váy này màu đen em mặc k đẹp lắm, shop đôi màu hong dat cho em dc k ak"
11555,khách 5261 chị ơi
11556,khách 958 ok e
11557,khách 795 thanks
11558,thu liễu liên hệ tư vấn viên
11559,khách 451 ok ạ để em cố gắng theo dõi live
11560,khách 10448 đơn hang trong tết gui em con thieu 1 đâm 200k
11561,"shop ơi váy này màu xam em mặc k đẹp lắm, shop đôi màu trắng cho em dc k ak"
11562,khách 4991 chất vải gì vậy sop
11563,khách 4198 shop ơi
11564,khách 937 đầm jen size s màu nhạt nha shop
11565,khách 804 mình mua set 195xxxxx
11566,minh nhi còn màu nào k c
11567,"dam nay size xl rong qua e mạc k đc, shop cho e doi size L với"
11568,khách 765 set trắng live trước còn ko chị
11569,trương phan da đi a chi ta ng 9 toa nha pico so 20 co ng hoa phu o ng 12 qua n ta n bi nh xxxxx
11570,em dạt set caro trắng do tuoi mà shop giao gì kỳ v
11571,khách 678 bên shop có lai bên trang này hả
11572,Sao  e dat mãu trắng mà shop giao mẫu xanh tho cho e v
11573,khách 4554 duong may bi lech nen mac vao no bi phô jio p lam sao shop
11574,khách 771 vậy là thiếu hai cái đầm đầu live của chị nửa
11575,khách 635 con k shop owi
11576,khách 10041 giá
11577,khách 830 em ơi
11578,khách 1103 chị có đặt thêm jum xanh rêu nữa đó e
11579,"em cho chị đổi set nude này lấy set anh dao với , chị k ưng set nude này"
11580,khách 12476 em đổi lại 2 cái đầm này được k ạ
11581,khách 2847 chị nr giá đi
11582,khách 4411 vậy gia chính bao nhiêu ạ
11583,khách 6145 liên hệ lại giúp e nhé
11584,khách 1128 sét này giá như nào ạ
11585,khách 2650 chị ơi
11586,khách 765 shop kiem kho giúp e con hay ko de e bít e đat them dx ko a
11587,khách 1595 mình muốn lấy mẫu này
11588,ngoc le chị lấy màu đen
11589,khách 11191 đơn chưa đi thi e đổi thành đen c với
11590,khách 3552 dạ shop ơi
11591,khách 814 e kiểm tra giúp c mấy mẫu này còn ko
11592,khách 1248 da
11593,khách 529 shop ơi
11594,khách 3978 ok nha
11595,khách 5363 aize l đến bn kg vậy sh
11596,khách 792 đầm này còn s ko shop oi
11597,khách 12687 ok
11598,khách 10978 bao nhiêu tiền bộ này vậy chị
11599,khách 1631 ok shop
11600,khách 1407 chi oi
11601,cty g g khu công nghiêp lộc an bình sơn long thanh đôngg nai
11602,khách 2476 e kiêm tra xem thi gưi c nha
11603,khách 3346 size l bên shop nhiu kg vừa ạ
11604,khách 1381 3 mẫu này còn mẫu nào thì gửi về 134 hồ sen lê chân hpxxxxx cho e nhé còn cả 3 thì gửi cả 3 cho e e chưa đặt qa live
11605,khách 890 hàng đẹp lắm shop
11606,bữa s chốt set đen cho e r mà sao h giao set do tuoi v
11607,khách 771 đợi chị chut chị coi lại live
11608,"shop gui nham mau cho em r , em dat xanh lo mà shop giao den"
11609,khách 820 liên hệ tư vấn viên
11610,khách 11191 check inbox mình đi ạ
11611,khách 5989 alo sop ơi
11612,khách 467 shop check giúp hn gọi có ai xả
11613,mình đặt set này màu hồng mà trông hơi già
11614,khách 1441 tổng cộng của e là bn v ạ
11615,khách 1353 mẫu này còn k bn
11616,khách 956 mình lấy 1 cv đen size l với 1 set 175k lúc gọi chốt đơn đúng rồi nhưng gửi nhầm cái đầm này cho mình
11617,khách 678 ok
11618,"sốp ơi, cho em đổi màu này lấy màu đen đc k , em k thích màu này cho lắm"
11619,khách 5844 set này bn vậy shop ơi
11620,khách 568 còn thì e chốt nha
11621,khách 2490 màu xanh
11622,khách 719 nhắn e số tiền nhé
11623,thanh hường mẫu áo đen với túi này màu đen còn ko ạ
11624,khách 387 shop oi
11625,khách 6093 mình 48kg cao m54 mặc sz nào vậy
11626,"Sốp giao nhầm mâux cho e r , em đạt set trắng mà giao set nau"
11627,khách 2239 giá 210k mien phi ship phai k shop
11628,khách 10288 ok e
11629,khách 12 ib gia
11630,khách 11334 phiền c gọi sớm giúp e ạ tối em làm đêm
11631,khách 738 ok
11632,ny milk mình đổi mẫu khác shop để đó mình mua đồ thêm rồi trừ ạ
11633,khách 1033 cho e hỏi mẫu này còn k ạ
11634,khách 791 e có đặt hàng hôm qa
11635,"shop ơi em đặt mẫu này màu kem mà về trông hơi dừ , em đổi qua màu trắng đc k"
11636,khách 771 bên shop còn hàng k ạ
11637,khách 7881 túi bn ạ
11638,khách 7652 tổng đơn c nhiêu chiều nay c chuyển tiền gửi hàng cho c luôn
11639,khách 958 e chốt cho c 2 quần mã 12 1 sz m và 1 sz l nhé tks e
11640,khách 1135 vải gì vậy ạ
11641,khách 889 c ơi shop còn váy này k ạ
11642,khách 460 có dc trên
11643,"shop ktra lại dùm e , e đặt set caro xanh chuoi đen mà nay lại ship set nay cho e "
11644,bảo long pé pon bn
11645,khách 958 mẫu váy p mặc c chụp gần lúc p ghé sát màn hịn đó e ai nhìn vô cũng nói 2 mẫu hoa khác nhau màbên kia có lá xanh rõ ràng luôn mac e vẫn kêu 2 mẫu giống nhau
11646,khách 3861 dạ
11647,"sop oi , nay minh nhạn hàng mà k đúng màu , shop cam quyi lại cho m vơi"
11648,khách 918 e lấy chai này nha
11649,khách 2562 s ơi ib giúp mình
11650,khách 5931 mã này bao nhiu ạ
11651,khách 1181 alo ạ
11652,khách 1964 shop ơiiiiii
11653,mình đặt set này màu do yen chi mà trông hơi già
11654,khách 4520 ok e
11655,khách 12757 hàng em gửi cho chị chưa mà bữa nay ko nhận đc á
11656,"shop gui nham mau cho em r , em dat vang mà shop giao den"
11657,khách 5881 size s khoang bao kg va cao bn vua ak
11658,khách 12563 xao tới h chưa giao v ạ
11659,khách 843 hi bạn ơi mẫu áo dài này mình còn hàng k ạ
11660,khách 7743 da
11661,khách 2802 gia s shop
11662,khách 12903 gia bn ah
11663,hôm bữa mình đặt size s mà giờ mình mặc thử chật eo quá chắc shop cho em đổi lại size L nha
11664,khách 1964 shop ơi
11665,khách 779 xem lại giúp e đơn túi xách đen nhé
11666,khách 467 vì c đặt cách đây 2 3 ngày rui
11667,khách 12646 shop ơi
11668,khách 3414 aloooo
11669,khách 722 còn khoác 16 dạ sọc cho m cái
11670,"em mặc màu xanh duong này k hợp lắm, cho e đổi sang màu vang dc k s"
11671,mỹ trang bên e làm gì kỳ vậy
11672,khách 733 chị đi đám cưới say quá bây giờ mới ngủ dậy đọc được tin nhắn của em
11673,khách 738 dạ đúng rồi shop
11674,khách 3089 nhiêu cái b
11675,bữa s chốt set đen cho e r mà sao h giao set men ngoc v
11676,khách 2856 dạ e cảm ơn
11677,"Shop giao sai màu cho e r, đặt màu hồng sao giao màu nâu tanin"
11678,khách 654 size m còn k shopxxxxx
11679,khách 5040 váy trắng giá sao shop
11680,khách 11480 ok b
11681,khách 926 shop ơi
11682,khách 1039 mẫu này còn màu trắng ko shop
11683,khách 1429 cho mình mấy sét trên với ạ mình chưa đặt trên live
11684,bữa s chốt set nâu sẫm cho e r mà sao h giao set nude v
11685,khách 1021 164 1 bình tiên p4 q6 nha chị
11686,"shop ơi váy này màu cham em mặc k đẹp lắm, shop đôi màu trắng cho em dc k ak"
11687,khách 965 sđtxxxxx xã tân hà huyện hàm tân tỉnh bình thuận
11688,"cho em đổi mầu này lấy nude được k shop , e mặc k hợp"
11689,khách 1016 e xin giá set này ạ
11690,khách 1363 lấy 3 cái này
11691,"màu nudei em dam nay mau reu dc k shop, mau nay ken da qua"
11692,khách 4541 có ai đang online để chat không
11693,thạch thảo địa chỉ khu phố 7 phường tân hoà biên hoà đồng naixxxxx
11694,"Sốp giao nhầm mâux cho e r , em đạt set trắng mà giao set bạc"
11695,khách 1832 set này em nhận em bị lỗi á shoppp
11696,hoa hải đằng chốt chưa e ơi
11697,từ thuỷ áo tím với cái jum ak e
11698,khách 926 thêm mẫu này màu trắng nè shop bữa có comment
11699,khách 6265 chị em vừa nhận được cái đầm màu xanh size l ấy mà mặc bị rộng cho em đổi lại size m được không ạ
11700,"màu lam sẫm này trên live nhạt mà sao về đậm quá shop, cho e đổi sang màu nude với"
11701,khách 3254 có màu khác k chị
11702,"Giao lộn mau cho em r shop, cho em xanh hoang honi lai a"
11703,khách 1183 có màu khác ko shoo
11704,khách 918 còn set này k ạ
11705,khách 8483 sh oi hàng của mình gọi chốt đơn r nhưng mình vẫn chua nhan dc ạ shop check lai giup minh voi ạ
11706,khách 717 mẫu này còn size s kh ạ
11707,bé hoà size m cho mình nha
11708,khách 896 alô
11709,"nay minh nhan hang mà sai m ben shop chat qua , m doi lai size l dc k"
11710,khách 1333 ok ạ
11711,khách 10235 em có đơn bên mình do bận nên k nge máy kịp bên shop nhờ shop check lại đơn gọi lại giúp em
11712,khách 743 nguyên sét này còn không vậy shop ơi
11713,chang vũ còn thi để cho e nha shop
11714,khách 942 còn giao qua số 12 đường 27 bình trị đông b quận binh tânxxxxx
11715,khách 13059 alo shop
11716,khách 11224 giao thiếu đồ cho mình rồi
11717,khách 998 đầm còn ko em
11718,khách 12217 bên shop gọi chốt đơn rồi mà e chưa nhận đc hàng lun shop ơi
11719,hoa hải đằng chốt chị 2 đầm này e ơi
11720,bùi thanh thuy c hỏi thêm set này
11721,khách 633 cho chi áo này lun nha
11722,khách 705 c oi
11723,khách 12904 giá nhiêu 1 cái vay shop
11724,khách 813 khi nào mẫu này về hàng típ thì ship e sz l đi shop ơi
11725,"dam nay size xl rong qua e mạc k đc, shop cho e doi size l với"
11726,"cho em đổi màu xám này lấy màu mong ket đc k , màu xám làm tối da quá"
11727,"tími em dam nay mau reu dc k shop, mau nay ken da qua"
11728,"Sốp chốt size S mà giờ giao size L , đỏi lai cho e di"
11729,khách 3488 mẫu này bn vậy c
11730,khách 1075 còn xanh k thì lấy một
11731,khách 10272 ok s
11732,minh nhi nhận đc chua shop
11733,khách 9187 shop liên hệ giúp em nhé
11734,"màu vàng này trên live nhạt mà sao về đậm quá shop, cho e đổi sang hồng đất với"
11735,khách 1002 chào shop
11736,khách 1738 cj ơi
11737,khách 5006 có ai đang online để chat không
11738,khách 9423 chưa ạ váy bn ak
11739,khách 3645 điện thoại nh bị mất nên gọi lại giúp nhị sdtxxxxx để chốt đơn nha có mấy cái đầm đã đặt rồi
11740,khách 2527 e oi
11741,hoa hải đằng lấy chị 2 đầm này sz l đi e
11742,khách 13080 uh
11743,khách 906 mình được đọc tên sao k thấy được chốt đơn
11744,"S ship nhầm mau cho mình mình , m dat tim mà giao cam , cho mình ngoc thachi lai "
11745,khách 2025 em xin giá
11746,khách 5743 hi shop
11747,khách 890 còn mẫu này ko shop
11748,khách 778 shop ơi
11749,khách 9602 ok shop
11750,khách 8503 ok c
11751,khách 2618 bn ạ
11752,khách 10085 hôm nay mơ i nhâ n se t bi châ t
11753,thanh thảo alo
11754,khách 728 áo bra còn ko em
11755,khách 4825 xin gia
11756,khách 3682 ok
11757,1403 xô viết nghệ tĩnh hoà cường nam hải châu đà nẵng
11758,khách 905 mình lấy 2 mẫu này a
11759,khách 4446 thường vào size mấy
11760,khách 7437 oki e
11761,khách 723 gửi bill chuyển khoản cho mình đi shop ơi
11762,"cho m đổi lại size M với , mẫu này m mặc size l k vừa"
11763,khách 1352 hàng dạ hay chất gì
11764,khách 864 có size k ạ
11765,bữa s chốt set đen cho e r mà sao h giao set cá hồi v
11766,khách 7347 phan hồi thoong tin giúp nha
11767,lâm khả hân cho e 1 cái ạ
11768,khách 386 còn mẫu này lấy mình 1 set nhé shop
11769,khách 7458 ok e
11770,khách 9211 ok chị nha
11771,Sao  e dat mãu đỏ son mà shop giao mẫu vàng cho e v
11772,khách 11321 váy bị rách rồi shop ơi
11773,khách 911 hôm qua tối live e được chốt 7 món này nè chị
11774,khách 12496 bao nhiu ky vua e
11775,khách 793 ok ạ
11776,khách 1461 cho em địa chỉ mai em gửi tiền cọc chân cho chị chốt hàng cho em nha
11777,khách 853 cho em hai sét này nha
11778,khách 3374 2 mẫu này
11779,shop dạ c lấy thì kèm e sđt địa chỉ e chốt cho c nha
11780,"em nhận hàng nhưng ko đúng maaux e đặt , shop đổi lại cho e v
bữa e đặt  mẫu màu nude mà nay lại nhận mẫu xanh này , shop ktra lại dùm e"
11781,khách 1461 giờ e đi ngủ đây bye chị nha
11782,"Sốp giao nhầm mâux cho e r , em đạt set trắng mà giao set tim"
11783,khách 519 cái 155 k màu trắng
11784,khách 10131 gui thuong và shop tra ship hay sao ạ
11785,mỹ trang ko bill đỏ ko túi giấy của đồng hờ
11786,khách 738 đã ck 1274k shop kt dùm
11787,khách 3256 và có mấy màu ạ
11788,khách 5164 shop ơi váy này giá bn vậy ạ
11789,khách 4314 giá bao nhiêu
11790,khách 4685 chất vải có tốt k shop
11791,nhung tran lay cho c 2cai do di
11792,khách 1398 185k
11793,khách 9578 vang ak
11794,khách 679 set này 169k ạ
11795,khách 1301 vải như nào á shop
11796,khách 1461 emma kiều xxxxx địa chỉ 5b sky garden 2 đu o ng pha m va n nghi phu my hu ng ta n phong qua n 7 co ng xe o to đo ng 4 đu o ng pha m va n nghi va le va n thie m
11797,vo thu con mẫu cam ko e
11798,thu liễu liên hệ tư vấn viên
11799," cho em do yen chii set khác dc k shop , set nay e k thich lam"
11800,minh nhi ok có j còn mấy sp đó để cho c nha
11801,khách 1036 dạ e lấy size 35
11802,khách 519 số 9 sư vạn hạnh p9 quận 5
11803,khách 2180 này đâu có màu khác hả e
11804,khách 482 rùi mà chưa thấy giử cho e đó shop
11805,thảo ái dạ mà khoát này còn k ạ
11806,shop dạ c lấy thì kèm e sđt địa chỉ e chốt cho c nha
11807,khách 926 shop gọi chốt đơn live 12 11 và đã chuyển khoản mà chưa nhận dc hàng shop ơi
11808,khách 1700 chị ơi váy này bao nhiều k ah
11809,vân lê mức tết còn k e
11810,khách 4592 em gui lộn váy đỏ 190k size l của người khác cho c rồi
11811,khách 729 ok shop đi đơn gium minh nha nãy giờ minh bận nên ko nghe đt dc thanks shop
11812,khách 1454 dạ còn sz s k sh
11813,khách 103 lay em sai s
11814,na tiến ao còn ko chi
11815,khách 237 chưa nha em em nhắc mấy bạn kiểm tra lại giúp chị nha
11816,khách 922 con ko ạ
11817,khách 5619 dạ
11818,khách 11281 dạ đổi lại giúp e nga
11819,khách 699 bữa mình đặt mẫu màu đen mã 48 mà giao lộn cho mình mẫu khác
11820,khách 7942 cái này chất vải gì vậy e
11821,khách 840 đặt hàng
11822,khách 9570 ok c
11823,khách 790 đây e
11824,khách 1377 dc 38 đường số 3 khu phố 1 thị trấn tân thạnh huyện tân thạnh tỉnh long an
11825,khách 944 còn ko vậy e ơi
11826,khách 4684 size to bn kg vừa ạ
11827,vo thu con chốt cho c nha
11828,"Sốp giao nhầm mâux cho e r , em đạt set lòng đào mà giao set do"
11829,khách 6381 chất vải của váy là gì ạ
11830,"sop oi , nay minh nhạn hàng mà k đúng màu , shop kemi lại cho m vơi"
11831,khách 927 đầm vàng này còn ko em
11832," cho em chami set khác dc k shop , set nay e k thich lam"
11833,khách 767 hổm e có đặt cái này trên live á
11834,sđt xxxxx
11835,khách 407 cho e ho i 2 ma u na y e đa co đo n chu a a
11836,khách 5993 chào shop
11837,"em nhận hàng nhưng ko đúng maaux e đặt , shop đổi lại cho e v
bữa e đặt  mẫu hồng mà nay lại nhận mẫu xanh lá này , shop ktra lại dùm e"
11838,khách 874 mặc zừa ik ma đẹp lỗng lẫy
11839,khách 4557 bn ah
11840,khách 1036 nguyên sét này quần s áo trắng
11841,khách 8763 gửi nhầm đồ cho e rồi
11842,khách 8503 ok
11843,khách 206 bn shop
11844,khách 5884 ao nay 57kg co sz k hằng
11845,phạm ý my xxxxx
11846,khách 6214 co size 65kg k b
11847,"Ủa shop , em đặt mẫu ametit sao giao mẫu cam "
11848,khách 952 mẫu này còn k shop
11849,khách 9604 gọi chốt đơn lại nha shop
11850,khách 6520 đẹp quá
11851,khách 8262 ok shop
11852,khách 958 set tím giá bn e nhỉ
11853,khách 1607 mẫu nay bnhieeu ạ
11854,khách 735 lấy c 4 bộ này màu hồng nha
11855,khách 699 mẫu này còn k shop ơi nếu còn chốt và giao luôn nhé shop 133 tân thới nhất 08 p tân thới nhất q12
11856,"em mặc màu lục bảo này k hợp lắm, cho e đổi sang màu vang dc k s"
11857,khách 8551 dạ e cảm ơn shop ạ
11858,khách 9615 mình gửi e bị nhầm size set rin 199k nike có kèm mũ á e đặt size s mình gửi nhầm size l e đã gọi mà có ng báo gửi lại cho e chị kiểm tra xem đã đổi lại cho e chưa ạ e cảm ơn
11859,khách 3219 alo
11860,khách 4384 e oi
11861,khách 933 chị lấy set này sz s nữa nha
11862,khách 1103 chị có đặt thêm jum xanh rêu nữa đó e
11863,khách 13080 e
11864,khách 3374 rep ib e nhé
11865,khách 12196 oki bạn
11866,khách 4162 có ai đang online để chat không
11867,"Ủa shop , em đặt mẫu hồng sao giao mẫu màu da "
11868,"shop ơi em đặt mẫu này màu vàng mà về trông hơi dừ , em đổi qua màu cam đc k"
11869,khách 1936 v shop c e đặt set này nha
11870,khách 5293 chị ơi shop giao sai mẫu ah e đặt mẫu này shop giao cái đầm nào màu nâu á chị
11871,khách 1461 gửi bill em xem hết bao nhiêu em nói người nhà e đưa tiền cho chị nha
11872,khách 730 đầm 159 con ko c
11873,lâm khả hân ship chung dc ko ạ
11874,khách 5570 shop ơi
11875,khách 3734 ok e
11876,khách 13205 bữa lâu mình có chốt 2 quần này mà mãi ko thấy ship cho mình
11877,khách 4016 nhắn lại giùm e nhé
11878,khách 567 alo
11879,khách 853 vậy chị cho em sét cam với sét hồng nha
11880,khách 5907 nếu gửi q7 thì phí bn shop
11881,khách 10336 c ơi
11882,"ủa em ơi, c đặt sét mận mà sao giao mẫu này cho c?"
11883,khách 6200 cho em hỏi chất vải gì ạ
11884,khách 7574 ok e
11885,khách 891 nếu con thì b ship chung cho m lun
11886,minh nhi lấy này màu hồng
11887,khách 2822 1m7 63kg vừa k ạ
11888,khách 3899 alo
11889,khách 4910 xin giá
11890,"nay minh mới nhận hàng bên shop mà thay giao sai màu , shop bei lai cho e với"
11891,khách 3770 mà bị ra màu vậy
11892,khách 2097 nay bnhiu ak
11893,mh có mua áo khoác màu nâu này đổi lại giùm mh màu vàng dc ko
11894,"sóp ơi giao sai mầu cho e r, em đặt mầu xanh dương giao màu nâu thế ạ"
11895,khách 1323 bn ạ
11896,khách 1425 dạ đúng ạ
11897,"ủa shop , e thấy trên live màu xanh crôm này đẹp lắm mà , sao e đặt về nó đậm v,e đổi màu đc ko
"
11898,khách 658 nếu còn shop chốt cho exxxxx ạ
11899,khách 4597 ok shop
11900,khách 12690 e lấy set váy và set bộ nâu đậm chưa chốt trên live
11901,"Shop giao lộn màu cho em r , mẫu này em đặt màu rêu s giao màu be "
11902,khách 5283 ok c
11903,khách 12328 mẫu này con dc màu nào k e
11904,khách 8077 e cmt khi live chưa dự bị mà c lượt đầu luôn ý cũng k đọc là dị bị nên mới thấy lạ bị 2 lần như vậy rồi đó
11905,khách 5389 chất gì vậy shop
11906,khách 97 sẵn c kiểm tra giúp e là e có 1 đơn hàng là 1 quần jeans size l đã gọi chốt nhưng hơn 1 tuần rồi chưa giao tại mấy lần trk e đặt là 1 2 ngày sau có liền à c e đã gọi hotline bên mình rồi bên hotline nói để kiểm tra mà đến giờ e chưa nhận đk hàng luôn ạ
11907,khách 738 có ck trước ko shop
11908,"sóp ơi giao sai mầu cho e r, em đặt mầu xanh da troi giao màu nâu thế ạ"
11909,khách 1220 dầm này nhiu chị
11910,395 11 3 tth21 p ta n tho i hie p qua n 12 hcmxxxxx
11911,"E đặt mầu oai huong , shop giao lộn em màu vàng , đổi lại cho em với ạ"
11912,khách 672 hi shop
11913,"em thường mặc đồ bên shop size XL  mà sao nay nhận set này chật quá, em muốn đổi qua size S ạ"
11914,khách 8801 ok e
11915,khách 9036 ship xuyên mộc bà rịa vũng tàu bao nhiêu
11916,khách 738 ok shop
11917,khách 958 ok hương
11918,hoàng lan mình muốn đặt mẫu này shop mình còn ko ạ
11919,"sóp ơi giao sai mầu cho e r, em đặt mầu xam giao màu nâu thế ạ"
11920,khách 739 chưa đc a1 ấp lạc sơn xã quang trung huyện thống nhất tinh đong nai
11921,khách 1002 váy này với quần váy 2 màu đen và nude nè e
11922,"Ủa shop , em đặt mẫu hồng sao giao mẫu xam "
11923,khách 1052 đc 78 3 đường đx 101 phường hiệp an tp thủ dầu một tỉnh bình dương
11924,khách 750 vs mẫu áo này con k chị
11925,khách 3031 gọi chôtlaij dùm e nha
11926,khách 958 ok e
11927,khách 844 bi rach voi may cai phan phia sau no tum lum
11928,"em mặc màu cam này k hợp lắm, cho e đổi sang màu da cam dc k s"
11929,khách 658 ok e
11930,mình đổi sang mẫu khác nhé
11931,em dạt set caro xanh co ban đen mà shop giao gì kỳ v
11932,an an
11933,"shop gui nham mau cho em r , em dat xanh mà shop giao hoa cà"
11934,khách 2573 shop oi
11935,bữa s chốt set đen cho e r mà sao h giao set xanh crom v
11936,khách 1216 shop oi
11937,khách 13134 c để sdt mà k thấy gọi
11938,khách 153 dạ vậy mẫu này có đổi lại được k c
11939,"em nhận hàng nhưng ko đúng maaux e đặt , shop đổi lại cho e v
bữa e đặt  mẫu hồng mà nay lại nhận mẫu dua can này , shop ktra lại dùm e"
11940,khách 75 cho mình 1 bộ sz s đến trường tiểu học đồng tâm ngõ 128c đại la quận hai bà trưng hn
11941,khách 1629 alo
11942,khách 8287 cái này vs ship thì bn v ạ
11943,khách 1315 chị 55 kg cao 1m6
11944,khách 771 ah ok
11945,trần thuỳ trang chân váy này còn hk ạ
11946,khách 5292 có ai đang online để chat không
11947,trường thcs ma lâm hàm thuận bắc bình thuận
11948,khách 1400 set này bn ạ
11949,khách 536 ai xả nâu chị chốt e vớixxxxx
11950,E dat sz m mà sao sop giao size s
11951,khách 4991 em oi chot chi may mau nay
11952,khách 5704 e dặt bên chị là đầm hoa bên chị gửi e đầm nơ r ạ
11953,khách 1793 bn sh
11954,khách 508 cho chị đặt mua mẫu này em ơi
11955,khách 4257 đúng ạ
11956,khách 4634 dạ okie c e đưa hàng vs 27k cho nhân viên lấy hàng phải k c
11957,khách 12957 vì e chốt trên live shop có đọc tên mà k có gọi chốt nên e lên đây hỏi ạ
11958,ngọc bích ziz m
11959,khách 3564 khách hàng thân thiết mà riết mua đồ kg bán nãn
11960,khách 10783 c mua hang shop may lan roi lan nao thay cung ok
11961,khách 6158 có ai đang online để chat không
11962,khách 8399 tl lại tn mình với shop
11963,khách 3343 144 18 au co p9 tận bìnhxxxxx
11964,khách 721 shop cho mình hỏi mình đặt mẫu này đã chốt chưa vậy
11965,khách 3158 mẫu này giá bao nhiêu vậy shop
11966,khách 4115 cho e hỏi giá váy này với ạ
11967,khách 1936 đơn e đi hàng tc bn ah c
11968,nha trang
11969,"shop gui nham mau cho em r , em dat xanh mà shop giao hat de"
11970,khách 786 hi shop
11971,khách 723 02 tây chị chuyển được để mai c chuyển nhé
11972,khách 2527 tổ 52 kv 6 phuong nhon bình tp quy nhơn tỉnh bình địnhxxxxx
11973,quyên đặng chưa gặp truong hop này e thich mua đồ cua c p nen mới nhờ giữ đe mua them nếu dc thi e ủng hộ tiếp ko thì thôi ạ
11974,"shop ơi em đặt mẫu này màu đỏ tươi mà về trông hơi dừ , em đổi qua màu trắng đc k"
11975,"màu vàng này trên live nhạt mà sao về đậm quá shop, cho e đổi sang hồng với"
11976,khách 2804 giá sao z shop
11977,khách 1629 em lấy đầm xanh đó nha
11978,khách 12687 alo ạ
11979,khách 468 cho mình xin giá luôn nhé
11980,khách 914 mình nhận đc hàng rồi nha shop
11981,khách 6304 ok
11982,"shop ơi váy này màu đỏ tươi em mặc k đẹp lắm, shop đôi màu trắng cho em dc k ak"
11983,khách 8546 eo của e 69 mặc size j ạ
11984,khách 1435 đúng r nga
11985,khách 879 alo
11986,crystal luu em
11987,khách 875 dạ bên mình là ở tân phú hở shop
11988,khách 753 em coi lai dùm chị
11989,"cho em đổi màu nu đi, màu ngọc thạch không có đẹp"
11990,khách 1461 mấy mẫu này chị còn ko
11991,khách 2083 đơn mình bn ạ
11992,khách 2168 vậy giúp em đổi lại màu đen nha
11993,"em cho chị đổi set nude này lấy set do với , chị k ưng set nude này"
11994,khách 5035 vâng
11995,khách 1447 với cho mình hỏi set 245k trong hình còn ko và sau này có về nữa không ạ
11996,sđt xxxxx
11997,khách 1061 chốt chị nhe
11998,crystal luu bạn ơi
11999,"Shop giao lộn màu cho em r , mẫu này em đặt màu rêu s giao xanh lo "
12000,khách 464 váy này còn ko shop ơi
12001,khách 693 hello shop
12002,khách 814 c 52 kg
12003,khách 765 set trắng live trước còn ko chị
12004,khách 1198 đồ bị rách rồi
12005,khách 680 vàngxxxxx
12006,trang thịnh ko bít c ship chưa nếu ship rồi ko vừa e có đc đổi size k c
12007,kim van c ơi
12008,khách 2513 lê phương thảo
12009,quyên đặng ok chi de e nhơ ng chuyen gium
12010,khách 439 chị ơi kiểm tra số 372 cuối kêu bắt máy dùm e chiều nay gọi chốt đơn e bị sai mà e gọi k bắt máy
12011,khách 6015 gia bnhiu v ạ
12012,khách 4060 bn a
12013,khách 6812 ok ạ
12014,minh thùy alo alo
12015,khách 12831 mac sz gi gái
12016,khách 3050 bn vay ạ
12017,bữa s chốt set xám cho e r mà sao h giao set nude v
12018,khách 732 mới gọi lúc sáng
12019,crystal luu hjxhjx
12020,tuyết vân 2 quần này còn ko shop ơi
12021,khách 1048 ben e giao lon cho c chot 1nhung chuyen 2don gio du 1don c chuyen lai
12022,khách 4105 shop ơi bên shop gởi hàng cho e nhưng nhầm giá tiền rồi
12023,khách 1461 địa chỉ này phải ko ạ
12024,"Shop giao lộn màu cho em r , mẫu này em đặt màu rêu s giao hong "
12025,khách 3101 tại hôi nảy bên e điện c bặn ko ghe máy dc vậy bên e gọi lại giup c nha
12026,khách 8458 e lấy 2 váy này
12027,khách 671 đàm và áo 2màu này còn chốt chị nha
12028,khách 1461 em thick những mẫu này
12029,khách 7435 ok
12030,"cho em đổi mầu này lấy be được k shop , e mặc k hợp"
12031,Sao  e dat mãu trắng mà shop giao mẫu san ho cho e v
12032,minh nhi c chưa nhận đc hàng em
12033,khách 6630 shop lam ăn gi la wa
12034,"sop oi , nay minh nhạn hàng mà k đúng màu , shop ô liui lại cho m vơi"
12035,khách 2652 shop ơi
12036,"e ơi, chị vừa nhận đầm mà thấy màu này k hợp với c,cho đỏi lấy vàng đc kh e"
12037,khách 3116 ib dùm e đi shop
12038,khách 8523 hi shop
12039,khách 1381 set em gửi e đổi sang váy này c nhé
12040,khách 439 shop ơi
12041,"Ủa shop , em đặt mẫu nau sam sao giao mẫu cam "
12042,khách 1250 cho c hỏi có size k e
12043,khách 1056 set này còn k a
12044,khách 11687 bữa e mua màu den mặc đẹp km
12045,khách 1717 alooo
12046,khách 563 mẫu này còn kg vậy e
